factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_cd15_lv109 2 2 0.885 0.483 0.033 0.644
EUR.CD_cd15_lv20 2 2 0.737 0.834 0.161 0.539
EUR.CD_cd15_lv61 2 2 0.99 -0.038 0 0.951
EUR.IBD_cd15_lv125 2 2 0.933 -0.17 0.011 0.725
EUR.IBD_cd15_lv22 2 2 0.19 -1.566 0.914 0.4
EUR.IBD_cd15_lv60 2 2 0.918 -0.176 0.016 0.691
EUR.IBD_cd15_lv61 2 2 0.865 0.431 0.044 0.561
EUR.UC_cd15_lv120 2 1 0.668 -1.369 0.248 0.542
T1D_cd15_lv41 3 3 0 2.73 1 0
T1D_cd15_lv94 2 2 0.271 2.853 0.83 0.355
baso_cd15_lv12 2 2 0.928 -0.016 0.013 0.818
eo_cd15_lv53 2 2 0.508 -0.31 0.487 0.496
eo_cd15_lv75 2 2 0.963 -0.025 0.003 0.904
gran_cd15_lv63 2 2 0.98 -0.007 0.001 0.948
hct_cd15_lv84 2 2 0.008 -0.469 1 0.018
hgb_cd15_lv50 2 2 0.863 0.055 0.046 0.715
hgb_cd15_lv84 2 2 0.015 -0.433 0.999 0.043
lymph_cd15_lv27 2 2 0.536 -0.183 0.444 0.527
lymph_cd15_lv59 2 2 0.062 0.191 0.991 0.155
lymph_cd15_lv76 2 2 0.93 -0.017 0.012 0.856
mch_cd15_lv103 3 3 0.001 -0.394 0.998 0
mch_cd15_lv128 2 2 0.023 -0.224 0.999 0.034
mch_cd15_lv14 3 3 0.001 -0.202 0.997 0.004
mch_cd15_lv146 2 2 0.071 -0.28 0.988 0.074
mchc_cd15_lv21 2 2 0.968 -0.027 0.003 0.944
mchc_cd15_lv38 2 2 0.028 0.63 0.998 0.072
mcv_cd15_lv103 2 2 0.519 -0.284 0.47 0.535
mcv_cd15_lv116 4 4 0.791 0.053 0.027 0.805
mcv_cd15_lv12 2 2 0.267 -0.189 0.834 0.308
mcv_cd15_lv120 2 2 0.046 0.199 0.995 0.098
mcv_cd15_lv128 2 2 0.097 -0.259 0.977 0.193
mcv_cd15_lv131 2 2 0.057 -0.141 0.992 0.086
mcv_cd15_lv132 3 3 0.594 0.353 0.165 0.552
mcv_cd15_lv137 2 2 0.251 -0.108 0.853 0.308
mcv_cd15_lv146 2 2 0.031 -0.268 0.998 0.035
mcv_cd15_lv27 2 2 0.327 -0.293 0.758 0.446
mono_cd15_lv27 2 2 0.129 -0.22 0.96 0.254
mono_cd15_lv59 2 2 0.948 0.015 0.007 0.893
mono_cd15_lv69 2 2 0.004 0.373 1 0.003
mono_cd15_lv78 2 2 0.987 -0.003 0 0.974
mpv_cd15_lv117 2 1 0.655 0.279 0.266 0.524
mpv_cd15_lv12 2 2 0.68 0.122 0.233 0.546
mpv_cd15_lv29 2 2 0.114 0.409 0.968 0.205
neut_cd15_lv135 2 2 0.889 -0.035 0.03 0.715
neut_cd15_lv63 2 2 0.995 -0.002 0 0.98
pct_cd15_lv131 2 2 0.878 -0.027 0.036 0.783
pct_cd15_lv132 2 2 0.288 -0.44 0.808 0.42
pct_cd15_lv137 2 2 0.723 -0.071 0.178 0.554
pdw_cd15_lv5 2 2 0.308 0.157 0.783 0.408
plt_cd15_lv5 2 2 0.958 0.01 0.004 0.943
plt_cd15_lv84 2 2 0.005 0.713 1 0.019
plt_cd15_lv86 2 2 1 0 0 1
rbc_cd15_lv103 3 3 0.463 0.261 0.288 0.458
rbc_cd15_lv132 3 3 0.672 -0.207 0.108 0.681
rbc_cd15_lv39 2 2 0.006 -0.292 1 0.003
rdw_cd15_lv14 2 2 0.051 0.194 0.993 0.103
ret_cd15_lv100 2 2 0.953 0.025 0.005 0.878
ret_cd15_lv135 2 2 0.295 0.228 0.801 0.453
ret_cd15_lv89 2 2 0.992 0.005 0 0.98
ukb.allasthma_cd15_lv126 2 2 0.011 -0.55 1 0.034
wbc_cd15_lv69 2 2 0.9 -0.06 0.025 0.738
