factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_cd15_lv109 3 3 0.264 2.132 0.542 0.244
EUR.CD_cd15_lv120 2 2 0.131 1.978 0.958 0.331
EUR.CD_cd15_lv20 2 2 0.727 0.839 0.173 0.583
EUR.IBD_cd15_lv132 2 2 0.946 0.133 0.007 0.813
EUR.IBD_cd15_lv54 2 2 0.861 0.356 0.047 0.593
EUR.IBD_cd15_lv61 2 2 0.002 -1.557 1 0.004
EUR.IBD_cd15_lv80 2 2 0.914 0.234 0.018 0.712
T1D_cd15_lv100 2 2 0.936 -0.296 0.01 0.865
T1D_cd15_lv115 2 2 0.974 -0.065 0.002 0.959
T1D_cd15_lv41 3 3 0 2.634 1 0
allergy_cd15_lv28 2 2 0.059 0.468 0.991 0.069
baso_cd15_lv12 2 2 0.902 -0.023 0.024 0.809
baso_cd15_lv58 2 2 0.057 0.643 0.992 0.086
eo_cd15_lv121 3 3 0.853 0.051 0.022 0.843
gran_cd15_lv116 3 3 0.007 -0.289 0.985 0.013
gran_cd15_lv61 2 2 0.046 0.296 0.995 0.124
gran_cd15_lv63 2 2 0.946 -0.017 0.007 0.842
hgb_cd15_lv50 2 2 0.885 0.05 0.032 0.73
lymph_cd15_lv132 2 2 0.966 0.019 0.003 0.907
lymph_cd15_lv27 2 2 0.502 -0.19 0.497 0.487
mch_cd15_lv103 2 2 0.006 -0.401 1 0.017
mch_cd15_lv126 2 2 0.023 -0.338 0.999 0.064
mch_cd15_lv132 3 3 0.753 0.185 0.061 0.771
mch_cd15_lv137 2 2 0.639 -0.064 0.288 0.62
mch_cd15_lv14 3 3 0.003 -0.199 0.995 0.001
mch_cd15_lv146 2 2 0.067 -0.284 0.989 0.065
mch_cd15_lv27 3 3 0.028 -0.235 0.945 0.048
mchc_cd15_lv21 2 2 0.939 -0.054 0.009 0.876
mchc_cd15_lv38 2 2 0.034 0.589 0.997 0.088
mchc_cd15_lv64 2 2 0.125 0.371 0.962 0.292
mchc_cd15_lv7 2 2 0.991 -0.002 0 0.977
mcv_cd15_lv116 4 4 0.803 0.047 0.024 0.807
mcv_cd15_lv124 2 2 0.007 -0.346 1 0.014
mcv_cd15_lv131 2 2 0.057 -0.153 0.992 0.087
mcv_cd15_lv132 5 5 0.73 -0.104 0.033 0.73
mcv_cd15_lv137 3 3 0.431 -0.074 0.324 0.399
mcv_cd15_lv146 2 2 0.551 -0.212 0.421 0.622
mcv_cd15_lv27 2 2 0.057 -0.16 0.992 0.08
mono_cd15_lv27 2 2 0.137 -0.206 0.955 0.263
mono_cd15_lv69 3 3 0.579 0.161 0.177 0.524
mono_cd15_lv78 2 2 0.971 0.006 0.002 0.949
mono_cd15_lv83 2 2 0.825 -0.061 0.074 0.696
mpv_cd15_lv117 2 1 0.684 0.279 0.227 0.565
mpv_cd15_lv29 2 2 0.102 0.396 0.974 0.198
mpv_cd15_lv84 2 2 0.259 -0.903 0.844 0.396
myeloid_wbc_cd15_lv61 2 2 0.048 0.296 0.994 0.101
neut_cd15_lv116 3 3 0.005 -0.299 0.989 0.015
neut_cd15_lv61 2 2 0.063 0.279 0.99 0.139
neut_cd15_lv63 2 2 0.962 -0.012 0.004 0.916
pct_cd15_lv131 2 2 0.903 -0.022 0.023 0.782
pct_cd15_lv132 2 2 0.86 -0.071 0.048 0.724
pct_cd15_lv137 2 2 0.73 -0.075 0.169 0.559
pdw_cd15_lv5 3 3 0.305 0.065 0.482 0.272
pdw_cd15_lv92 2 2 0.005 0.321 1 0.015
plt_cd15_lv120 2 2 0.882 -0.049 0.034 0.761
plt_cd15_lv84 2 2 0.005 0.731 1 0.019
rbc_cd15_lv103 2 2 0.316 0.455 0.774 0.381
rbc_cd15_lv132 3 3 0.689 -0.2 0.097 0.677
rbc_cd15_lv66 2 2 0.082 -0.208 0.984 0.008
rbc_cd15_lv92 2 2 0.038 0.352 0.996 0.095
rdw_cd15_lv14 2 2 0.069 0.201 0.988 0.092
rdw_cd15_lv33 2 2 0.906 0.027 0.022 0.792
ret_cd15_lv100 2 2 0.975 0.014 0.002 0.941
ret_cd15_lv11 2 2 0.035 -0.193 0.997 0.065
ret_cd15_lv131 2 2 0.075 0.213 0.986 0.074
ret_cd15_lv89 2 2 0.998 -0.001 0 0.997
wbc_cd15_lv101 2 2 0.003 0.343 1 0.014
wbc_cd15_lv135 2 2 0.959 0.012 0.004 0.876
wbc_cd15_lv24 2 2 0.89 0.063 0.03 0.71
